company,linkedin_ids,linkedin_url,levels_slug,levels_status,base,total,years_experience,level,city,reported,source,source_url,date,notes,website,careers_url,hq_city,hq_country,employees,sector,year_founded,about
2am.tech,,https://www.linkedin.com/company/2amtech,2amtech,resolved,88638,88638,15,Architect,Valencia,2026-09,levels.fyi,https://www.levels.fyi/companies/2amtech/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Abracadabra,,,abracadabra,resolved,75000,75000,20,L5,Barcelona,2026-08,levels.fyi,https://www.levels.fyi/companies/abracadabra/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,68000,83000,7,7,Madrid,2026-03,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,60598,77084,14,Team Leader,Oviedo,2025-01,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,60000,75000,20,Manager,Madrid,2023-04,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,57000,57000,10,Senior,Barcelona,2023-09,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,48000,49400,15,L9,Sevilla,2025-07,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,46536,46536,11,Senior Software Engineer,Madrid,2025-03,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,45026,45026,10,Senior Software Engineer,Malaga,2025-02,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,43747,43747,9,Team Leader,Valencia,2025-07,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,42404,42404,6,Senior Software Engineer,Madrid,2023-08,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,41270,41270,5,Software Engineer Analyst,Alicante,2025-03,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,41000,41000,9,L9,Barcelona,2025-07,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,38000,38000,5,Software Engineer Analyst,Malaga,2023-02,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,37970,37970,5,Associate Software Engineer,Barcelona,2024-08,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,33296,33296,6,Software Engineer Analyst,Madrid,2024-10,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,32000,37000,5,L2,Malaga,2024-04,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Accenture,,https://www.linkedin.com/company/accenture,accenture,resolved,27766,27766,5,Senior Software Engineer,Sevilla,2023-03,levels.fyi,https://www.levels.fyi/companies/accenture/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Activision Blizzard,15415277,https://www.linkedin.com/company/activision-blizzard,activision-blizzard,resolved,83000,83000,20,L3,Barcelona,2023-09,levels.fyi,https://www.levels.fyi/companies/activision-blizzard/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Activision Blizzard,15415277,https://www.linkedin.com/company/activision-blizzard,activision-blizzard,resolved,76000,88000,12,Senior,Barcelona,2023-09,levels.fyi,https://www.levels.fyi/companies/activision-blizzard/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Activision Blizzard,15415277,https://www.linkedin.com/company/activision-blizzard,activision-blizzard,resolved,75000,103000,13,Principal Engineer,Barcelona,2022-08,levels.fyi,https://www.levels.fyi/companies/activision-blizzard/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Activision Blizzard,15415277,https://www.linkedin.com/company/activision-blizzard,activision-blizzard,resolved,66999,76999,6,L5,Barcelona,2022-03,levels.fyi,https://www.levels.fyi/companies/activision-blizzard/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Activision Blizzard,15415277,https://www.linkedin.com/company/activision-blizzard,activision-blizzard,resolved,65000,75000,5,Senior,Barcelona,2023-03,levels.fyi,https://www.levels.fyi/companies/activision-blizzard/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Activision Blizzard,15415277,https://www.linkedin.com/company/activision-blizzard,activision-blizzard,resolved,60000,68000,9,,Barcelona,2023-09,levels.fyi,https://www.levels.fyi/companies/activision-blizzard/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Activision Blizzard,15415277,https://www.linkedin.com/company/activision-blizzard,activision-blizzard,resolved,59000,75000,10,Principal,Barcelona,2021-04,levels.fyi,https://www.levels.fyi/companies/activision-blizzard/salaries/software-engineer/locations/spain,2026-09-22,,,,,,,,,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,89002,89002,15,13,Barcelona,2024-10,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,78791,89902,15,12,Barcelona,2025-07,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,77000,99000,10,13,Barcelona,2024-07,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,77000,89000,16,12,Barcelona,2024-05,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,77000,89000,15,11,Barcelona,2026-02,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,77000,77000,11,12,Barcelona,2024-07,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,76401,91682,15,13,Barcelona,2025-09,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,76000,87000,20,12,Barcelona,2024-07,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,75000,105000,7,L3,Barcelona,2023-04,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,75000,87000,12,Senior,Barcelona,2022-09,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,75000,85000,15,12,Barcelona,2023-09,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
Adevinta,13981593|13981594,https://www.linkedin.com/company/adevinta,adevinta,resolved,75000,75000,10,13,Barcelona,2024-08,levels.fyi,https://www.levels.fyi/companies/adevinta/salaries/software-engineer/locations/spain,2026-09-22,,https://www.adevinta.com,,Barcelona,ES,"1,001-10,000",internet,2019,
