name,linkedin_id,website,careers_url,hq_city,hq_country,spain_presence,offices_es,employees,sector,work_model,remote_within_spain,contract,working_language,role,level,base_min,base_p50,base_max,tc_min,tc_p50,tc_max,bonus_pct,equity,sample_size,source,source_url,source_date
Desia,101926060,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Uptail,104609501,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Crunch.io,1065469,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Auro,107716961,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
MyInvestor,11064675,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Trading 212,18161113,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Ledgy,18347648,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Cobee,18826329,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Meshcapade,18852605,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Zartis,2274396,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Worldpay,260387,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Lodgify,3151385,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Redslim,3193403,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Porsche AG,3823740,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
SeQura,5043989,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
SpliceBio,69852936,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Threecolts,71701124,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Vorwerk Group,784322,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
Xoople,95972483,,,,,,,,,,,,,,,,,,,,,,,,job-posting,,
